"area" "region" "zone" "meters" "direction" "con" "floor" "year" "school" "subway" "tax" "num" "price" "meters_cg" "year_cg" "num_cg" "price_cg"
"昌平" "天通苑中苑" "3室2厅" 157 "南北" "天通苑二手房" "高楼层" 2008 "无学区" "无地铁" "满五年唯一" 450 28663 "150~200" "05~10" "4~5" "2~3万"
"丰台" "万年花城三期" "1室0厅" 56 "南" "玉泉营二手房" "低楼层" 2006 "无学区" "有地铁" "满五年唯一" 240 42202 "50~100" "05~10" "2~3" "4~5万"
"朝阳" "世纪村东区" "2室1厅" 71 "南北" "亚运村小营二手房" "中楼层" 1997 "有学区" "有地铁" "非免税" 356 49833 "50~100" "95~00" "3~4" "4~5万"
"海淀" "橡树湾" "2室1厅" 72 "西" "清河二手房" "中楼层" 2008 "无学区" "无地铁" "满五年唯一" 430 59058 "50~100" "05~10" "4~5" "5~6万"
"通州" "旗舰凯旋一期" "1室0厅" 57 "北" "九棵树(家乐福)二手房" "中楼层" 2003 "无学区" "无地铁" "满五年唯一" 147 25790 "50~100" "00~05" "1~2" "2~3万"
"昌平" "天通苑东二区" "1室1厅" 75 "东南" "天通苑二手房" "中楼层" 2001 "无学区" "无地铁" "满五年唯一" 173 22911 "50~100" "00~05" "1~2" "2~3万"
"石景山" "六合园" "1室1厅" 55 "西" "鲁谷二手房" "中楼层" 1995 "无学区" "无地铁" "满五年唯一" 170 30725 "50~100" "95~00" "1~2" "3~4万"
"丰台" "万年花城四期" "1室1厅" 49 "东" "玉泉营二手房" "中楼层" 2004 "无学区" "有地铁" "满五年唯一" 220 44707 "0~50" "00~05" "2~3" "4~5万"
"大兴" "那尔水晶城" "1室1厅" 85 "南北" "枣园二手房" "高楼层" 2007 "无学区" "有地铁" "满五年唯一" 240 28008 "50~100" "05~10" "2~3" "2~3万"
"大兴" "灵秀山庄" "4室2厅" 135 "南北" "旧宫二手房" "低楼层" 2002 "无学区" "无地铁" "满五年唯一" 360 26577 "100~150" "00~05" "3~4" "2~3万"
"海淀" "知春里" "1室1厅" 51 "南" "双榆树二手房" "高楼层" 1990 "有学区" "有地铁" "满五年唯一" 320 62500 "50~100" "90~95" "3~4" "6~7万"
"丰台" "富卓苑" "1室0厅" 32 "西" "马家堡二手房" "低楼层" 2000 "无学区" "有地铁" "满五年唯一" 120 37326 "0~50" "00~05" "1~2" "3~4万"
"海淀" "高第小区" "1室1厅" 68 "北" "甘家口二手房" "低楼层" 2005 "有学区" "无地铁" "满五年唯一" 360 52190 "50~100" "05~10" "3~4" "5~6万"
"大兴" "瑞康家园" "3室2厅" 129 "南北" "黄村中二手房" "低楼层" 2005 "无学区" "无地铁" "满五年唯一" 330 25530 "100~150" "05~10" "3~4" "2~3万"
"海淀" "中海雅园" "3室1厅" 154 "东南" "紫竹桥二手房" "低楼层" 2000 "有学区" "有地铁" "非免税" 640 41497 "150~200" "00~05" "6~7" "4~5万"
"朝阳" "花园闸小区" "1室1厅" 53 "东北" "定福庄二手房" "中楼层" 2000 "有学区" "有地铁" "满五年唯一" 160 30166 "50~100" "00~05" "1~2" "3~4万"
"昌平" "天通苑东三区" "3室1厅" 143 "南北" "天通苑二手房" "高楼层" 2001 "无学区" "无地铁" "满五年唯一" 245 17133 "100~150" "00~05" "2~3" "1~2万"
"丰台" "青塔秀园" "1室1厅" 44 "南" "青塔二手房" "高楼层" 1999 "无学区" "无地铁" "满五年唯一" 140 31819 "0~50" "95~00" "1~2" "3~4万"
"大兴" "世嘉博苑" "1室0厅" 41 "南" "西红门二手房" "中楼层" 2009 "无学区" "有地铁" "满五年唯一" 146 35610 "0~50" "05~10" "1~2" "3~4万"
"东城" "金鱼池西区" "3室2厅" 125 "南北" "天坛二手房" "高楼层" 2003 "无学区" "有地铁" "满五年唯一" 560 44519 "100~150" "00~05" "5~6" "4~5万"
"朝阳" "定福庄西街" "1室1厅" 49 "西" "定福庄二手房" "中楼层" 2002 "有学区" "有地铁" "满五年唯一" 150 30151 "0~50" "00~05" "1~2" "3~4万"
"朝阳" "观湖国际" "3室2厅" 183 "南北" "朝阳公园二手房" "低楼层" 2007 "无学区" "无地铁" "满五年唯一" 1130 61749 "150~200" "05~10" ">10" "6~7万"
"丰台" "玉林里小区" "2室1厅" 57 "南西" "右安门外二手房" "高楼层" 1990 "无学区" "有地铁" "满五年唯一" 230 39862 "50~100" "90~95" "2~3" "3~4万"
"朝阳" "立城苑" "2室1厅" 104 "南北" "立水桥二手房" "低楼层" 2003 "有学区" "有地铁" "满五年唯一" 360 34616 "100~150" "00~05" "3~4" "3~4万"
"海淀" "富力桃园C区" "2室1厅" 89 "南" "西三旗二手房" "中楼层" 2004 "无学区" "无地铁" "满五年唯一" 330 37008 "50~100" "00~05" "3~4" "3~4万"
"顺义" "双裕花园东区" "2室1厅" 111 "南北" "后沙峪二手房" "低楼层" 2004 "无学区" "无地铁" "满五年唯一" 320 28829 "100~150" "00~05" "3~4" "2~3万"
"大兴" "宣颐家园" "2室1厅" 37 "东" "旧宫二手房" "低楼层" 2004 "无学区" "无地铁" "满五年唯一" 140 37808 "0~50" "00~05" "1~2" "3~4万"
"顺义" "义宾南区" "1室1厅" 61 "南北" "顺义城二手房" "中楼层" 1988 "无学区" "有地铁" "满五年唯一" 140 22706 "50~100" "<1990" "1~2" "2~3万"
"朝阳" "季景沁园" "3室2厅" 141 "南北" "望京二手房" "中楼层" 2004 "无学区" "有地铁" "满五年唯一" 750 52911 "100~150" "00~05" "7~8" "5~6万"
"朝阳" "SOHO北京公馆" "3室1厅" 273 "东南西北" "燕莎二手房" "高楼层" 2008 "无学区" "无地铁" "满五年唯一" 1800 65935 ">200" "05~10" ">10" "6~7万"
"昌平" "天通西苑三区" "2室2厅" 124 "南北" "天通苑二手房" "低楼层" 2002 "无学区" "有地铁" "满五年唯一" 280 22429 "100~150" "00~05" "2~3" "2~3万"
"丰台" "天创公馆" "1室1厅" 67 "东" "方庄二手房" "高楼层" 2007 "无学区" "有地铁" "满五年唯一" 315 47015 "50~100" "05~10" "3~4" "4~5万"
"房山" "碧桂园小区C区" "2室2厅" 91 "南北" "良乡二手房" "低楼层" 2007 "无学区" "无地铁" "满五年唯一" 175 19078 "50~100" "05~10" "1~2" "1~2万"
"通州" "西上园一区" "2室2厅" 110 "南北" "乔庄二手房" "高楼层" 2004 "无学区" "有地铁" "满五年唯一" 350 31620 "100~150" "00~05" "3~4" "3~4万"
"朝阳" "凤凰城三期" "4室2厅" 253 "南北" "三元桥二手房" "低楼层" 2006 "无学区" "有地铁" "满五年唯一" 1750 69075 ">200" "05~10" ">10" "6~7万"
"通州" "荞馨园" "3室1厅" 115 "南北" "乔庄二手房" "高楼层" 2001 "无学区" "有地铁" "满五年唯一" 260 22599 "100~150" "00~05" "2~3" "2~3万"
"西城" "荣丰2008" "1室1厅" 27 "西" "广安门二手房" "中楼层" 2000 "有学区" "有地铁" "满五年唯一" 130 47989 "0~50" "00~05" "1~2" "4~5万"
"西城" "安德路" "2室2厅" 83 "东西" "六铺炕二手房" "高楼层" 1997 "有学区" "有地铁" "满五年唯一" 800 95809 "50~100" "95~00" "7~8" "9~10万"
"朝阳" "苹果社区北区" "2室1厅" 111 "西" "未知商圈二手房" "高楼层" 2007 "无学区" "无地铁" "满五年唯一" 420 37716 "100~150" "05~10" "4~5" "3~4万"
"顺义" "吉祥花园" "2室1厅" 75 "东南" "后沙峪二手房" "低楼层" 2005 "无学区" "无地铁" "满五年唯一" 230 30667 "50~100" "05~10" "2~3" "3~4万"
"昌平" "北京人家" "3室2厅" 117 "南北" "回龙观二手房" "中楼层" 2004 "无学区" "无地铁" "满五年唯一" 330 27969 "100~150" "00~05" "3~4" "2~3万"
"海淀" "花园村小区" "2室1厅" 61 "南北" "甘家口二手房" "中楼层" 1960 "有学区" "有地铁" "满五年唯一" 310 50820 "50~100" "<1990" "3~4" "5~6万"
"朝阳" "珠江绿洲" "2室1厅" 118 "南" "双桥二手房" "高楼层" 2007 "有学区" "有地铁" "满五年唯一" 345 29238 "100~150" "05~10" "3~4" "2~3万"
"海淀" "今日家园" "2室1厅" 102 "西" "五棵松二手房" "低楼层" 2000 "无学区" "无地铁" "满五年唯一" 410 39930 "100~150" "00~05" "4~5" "3~4万"
"朝阳" "裘马都" "4室2厅" 292 "南东北" "三元桥二手房" "低楼层" 2000 "有学区" "有地铁" "满五年唯一" 1450 49653 ">200" "00~05" ">10" "4~5万"
"海淀" "今日家园" "2室1厅" 100 "南" "五棵松二手房" "中楼层" 2000 "无学区" "无地铁" "满五年唯一" 450 44884 "50~100" "00~05" "4~5" "4~5万"
"朝阳" "芍药居北里" "2室1厅" 104 "东西" "芍药居二手房" "低楼层" 2008 "无学区" "无地铁" "满五年唯一" 480 45890 "100~150" "05~10" "4~5" "4~5万"
"朝阳" "苹果社区北区" "1室1厅" 64 "南" "未知商圈二手房" "中楼层" 2008 "无学区" "无地铁" "满五年唯一" 256 39938 "50~100" "05~10" "2~3" "3~4万"
"海淀" "万寿路1号院" "3室1厅" 80 "南北" "万寿路二手房" "高楼层" 1990 "无学区" "无地铁" "满五年唯一" 360 44944 "50~100" "90~95" "3~4" "4~5万"
"昌平" "名佳花园" "2室1厅" 86 "南北" "北七家二手房" "低楼层" 2000 "无学区" "无地铁" "满五年唯一" 230 26745 "50~100" "00~05" "2~3" "2~3万"
"丰台" "方安苑" "1室1厅" 66 "北" "宋家庄二手房" "低楼层" 2003 "无学区" "无地铁" "满五年唯一" 220 33334 "50~100" "00~05" "2~3" "3~4万"
"昌平" "郝庄家园" "2室1厅" 83 "南北" "西关环岛二手房" "低楼层" 2004 "无学区" "无地铁" "非免税" 168 20087 "50~100" "00~05" "1~2" "2~3万"
"朝阳" "豪成大厦" "2室1厅" 118 "东南" "国展二手房" "低楼层" 2008 "无学区" "无地铁" "非免税" 300 25270 "100~150" "05~10" "2~3" "2~3万"
"顺义" "南竺园" "2室1厅" 75 "东南" "首都机场二手房" "高楼层" 1996 "无学区" "无地铁" "非免税" 150 19818 "50~100" "95~00" "1~2" "1~2万"
"朝阳" "劲松七区" "2室1厅" 58 "西北" "潘家园二手房" "中楼层" 1982 "无学区" "无地铁" "非免税" 220 37932 "50~100" "<1990" "2~3" "3~4万"
"亦庄" "林肯公园二期" "2室1厅" 118 "北" "亦庄二手房" "高楼层" 2007 "无学区" "无地铁" "非免税" 330 27967 "100~150" "05~10" "3~4" "2~3万"
"燕郊" "纳丹堡" "3室2厅" 115 "南北" "燕郊城区二手房" "中楼层" 2010 "无学区" "无地铁" "非免税" 165 14348 "100~150" "10~15" "1~2" "1~2万"
"朝阳" "灵通观" "2室1厅" 57 "南北" "建国门外二手房" "低楼层" 1994 "无学区" "有地铁" "非免税" 360 63158 "50~100" "90~95" "3~4" "6~7万"
"西城" "北环中心" "4室1厅" 164 "东西" "马甸二手房" "低楼层" 2006 "无学区" "无地铁" "非免税" 745 45289 "150~200" "05~10" "7~8" "4~5万"
"朝阳" "芍药居北里" "2室1厅" 89 "西南" "芍药居二手房" "中楼层" 2008 "无学区" "无地铁" "非免税" 440 49311 "50~100" "05~10" "4~5" "4~5万"
"顺义" "幸福东区" "3室1厅" 94 "南北" "顺义城二手房" "高楼层" 2002 "无学区" "有地铁" "非免税" 235 24993 "50~100" "00~05" "2~3" "2~3万"
"西城" "丽水莲花" "1室1厅" 67 "东" "广安门二手房" "高楼层" 2003 "无学区" "有地铁" "非免税" 370 55167 "50~100" "00~05" "3~4" "5~6万"
"大兴" "康盛园" "4室1厅" 149 "南北" "枣园二手房" "高楼层" 2007 "无学区" "无地铁" "非免税" 450 30071 "100~150" "05~10" "4~5" "3~4万"
"海淀" "万泉新新商务花园" "2室1厅" 99 "东西" "万柳二手房" "高楼层" 2002 "无学区" "无地铁" "非免税" 660 66667 "50~100" "00~05" "6~7" "6~7万"
"燕郊" "福城上上城五期" "1室1厅" 66 "东南" "燕郊城区二手房" "低楼层" 2008 "无学区" "无地铁" "非免税" 70 10470 "50~100" "05~10" "0~1" "1~2万"
"大兴" "康庄中巷4号院" "2室1厅" 90 "南北" "枣园二手房" "中楼层" 2012 "无学区" "无地铁" "非免税" 200 22223 "50~100" "10~15" "1~2" "2~3万"
"大兴" "美宅湾" "3室1厅" 98 "西南" "旧宫二手房" "低楼层" 2006 "无学区" "有地铁" "非免税" 210 21429 "50~100" "05~10" "2~3" "2~3万"
"昌平" "燕城苑北区" "2室1厅" 97 "南北" "北七家二手房" "低楼层" 2012 "无学区" "无地铁" "非免税" 220 22681 "50~100" "10~15" "2~3" "2~3万"
"昌平" "燕城苑北区" "2室1厅" 105 "南" "北七家二手房" "低楼层" 2009 "无学区" "无地铁" "非免税" 220 20953 "100~150" "05~10" "2~3" "2~3万"
"昌平" "永安里小区" "2室1厅" 67 "南北" "鼓楼大街二手房" "高楼层" 1995 "无学区" "无地铁" "非免税" 145 21642 "50~100" "95~00" "1~2" "2~3万"
"房山" "行宫园二里" "2室1厅" 71 "南北" "良乡二手房" "高楼层" 2001 "无学区" "无地铁" "非免税" 145 20403 "50~100" "00~05" "1~2" "2~3万"
"朝阳" "燕翔西里" "1室2厅" 48 "南北" "首都机场二手房" "高楼层" 1994 "无学区" "无地铁" "非免税" 115 23840 "0~50" "90~95" "1~2" "2~3万"
"昌平" "燕城苑南区" "2室1厅" 69 "南北" "北七家二手房" "中楼层" 2000 "无学区" "无地铁" "非免税" 170 24631 "50~100" "00~05" "1~2" "2~3万"
"朝阳" "北京像素北区" "1室1厅" 49 "东南" "常营二手房" "中楼层" 2010 "无学区" "有地铁" "非免税" 155 31188 "0~50" "10~15" "1~2" "3~4万"
"朝阳" "丽舍公寓" "1室1厅" 85 "东南" "建国门外二手房" "高楼层" 2001 "无学区" "无地铁" "非免税" 380 44706 "50~100" "00~05" "3~4" "4~5万"
"顺义" "佳和宜园" "2室2厅" 89 "南北" "马坡二手房" "中楼层" 2009 "无学区" "无地铁" "非免税" 155 17416 "50~100" "05~10" "1~2" "1~2万"
"房山" "加州水郡三期" "3室2厅" 132 "南北" "长阳二手房" "低楼层" 2009 "无学区" "无地铁" "非免税" 266 20070 "100~150" "05~10" "2~3" "2~3万"
"亦庄" "林肯公园" "1室1厅" 50 "西" "亦庄二手房" "低楼层" 2009 "无学区" "有地铁" "非免税" 130 26000 "0~50" "05~10" "1~2" "2~3万"
"顺义" "滨河小区" "2室1厅" 78 "南北" "顺义城二手房" "低楼层" 1993 "无学区" "无地铁" "非免税" 175 22268 "50~100" "90~95" "1~2" "2~3万"
"昌平" "石坊院" "2室1厅" 130 "南北" "鼓楼大街二手房" "低楼层" 2011 "无学区" "有地铁" "非免税" 290 22243 "100~150" "10~15" "2~3" "2~3万"
"昌平" "北亚花园" "2室2厅" 89 "南北" "北七家二手房" "低楼层" 2002 "无学区" "无地铁" "非免税" 182 20381 "50~100" "00~05" "1~2" "2~3万"
"大兴" "福星花园" "2室1厅" 113 "南北" "西红门二手房" "中楼层" 2000 "无学区" "无地铁" "满五年唯一" 285 25060 "100~150" "00~05" "2~3" "2~3万"
"海淀" "上地东里" "4室2厅" 180 "南北" "上地二手房" "高楼层" 1999 "有学区" "无地铁" "非免税" 780 43310 "150~200" "95~00" "7~8" "4~5万"
"昌平" "雅馨家园" "3室1厅" 98 "东西" "鼓楼大街二手房" "中楼层" 2000 "无学区" "有地铁" "满五年唯一" 223 22594 "50~100" "00~05" "2~3" "2~3万"
"房山" "碧桂园小区二区" "2室1厅" 87 "南北" "良乡二手房" "中楼层" 2004 "无学区" "无地铁" "满五年唯一" 170 19341 "50~100" "00~05" "1~2" "1~2万"
"房山" "建鑫园三里" "3室2厅" 127 "南北" "良乡二手房" "高楼层" 2003 "无学区" "无地铁" "满五年唯一" 230 17986 "100~150" "00~05" "2~3" "1~2万"
"朝阳" "弘燕路小区" "2室1厅" 79 "南北" "华威桥二手房" "中楼层" 1997 "无学区" "有地铁" "满五年唯一" 240 30338 "50~100" "95~00" "2~3" "3~4万"
"房山" "建鑫园三里" "3室2厅" 138 "南北" "良乡二手房" "高楼层" 2004 "无学区" "无地铁" "满五年唯一" 190 13689 "100~150" "00~05" "1~2" "1~2万"
"大兴" "义和庄东里" "2室1厅" 86 "南北" "黄村火车站二手房" "中楼层" 2000 "无学区" "无地铁" "满五年唯一" 190 21935 "50~100" "00~05" "1~2" "2~3万"
"房山" "碧桂园小区C区" "3室1厅" 118 "南北" "良乡二手房" "低楼层" 2007 "无学区" "无地铁" "满五年唯一" 210 17797 "100~150" "05~10" "2~3" "1~2万"
"昌平" "御路园" "3室1厅" 118 "南北" "西关环岛二手房" "高楼层" 2000 "无学区" "无地铁" "满五年唯一" 247 20933 "100~150" "00~05" "2~3" "2~3万"
"昌平" "拓然家苑" "3室1厅" 120 "南北" "南邵二手房" "高楼层" 1990 "无学区" "无地铁" "满五年唯一" 210 17500 "100~150" "90~95" "2~3" "1~2万"
"顺义" "裕祥花园" "2室2厅" 90 "南北" "后沙峪二手房" "高楼层" 1996 "无学区" "无地铁" "满五年唯一" 210 23334 "50~100" "95~00" "2~3" "2~3万"
"朝阳" "东平里" "3室1厅" 79 "南北" "首都机场二手房" "高楼层" 1990 "无学区" "无地铁" "满五年唯一" 165 20677 "50~100" "90~95" "1~2" "2~3万"
"朝阳" "北苑家园绣菊园" "3室2厅" 147 "南北" "北苑二手房" "低楼层" 2000 "无学区" "无地铁" "满五年唯一" 580 39456 "100~150" "00~05" "5~6" "3~4万"
"丰台" "天伦锦城" "2室1厅" 91 "南北" "花乡二手房" "低楼层" 2002 "无学区" "无地铁" "满五年唯一" 310 34037 "50~100" "00~05" "3~4" "3~4万"
"昌平" "森林大第" "3室2厅" 107 "南北" "西三旗二手房" "低楼层" 2002 "无学区" "无地铁" "满五年唯一" 370 34387 "100~150" "00~05" "3~4" "3~4万"
"朝阳" "新天第" "3室1厅" 166 "西北" "国展二手房" "低楼层" 2002 "无学区" "有地铁" "满五年唯一" 560 33735 "150~200" "00~05" "5~6" "3~4万"
"昌平" "天通苑北一区" "3室2厅" 152 "南北" "天通苑二手房" "低楼层" 2005 "无学区" "有地铁" "满五年唯一" 310 20362 "150~200" "05~10" "3~4" "2~3万"
"昌平" "东关北里小区" "3室1厅" 111 "南北" "东关二手房" "高楼层" 1996 "无学区" "无地铁" "满五年唯一" 220 19779 "100~150" "95~00" "2~3" "1~2万"
"房山" "西潞东里社区" "2室2厅" 133 "南北" "良乡二手房" "中楼层" 2005 "无学区" "无地铁" "满五年唯一" 248 18647 "100~150" "05~10" "2~3" "1~2万"
"丰台" "玺萌丽苑" "1室1厅" 57 "南" "草桥二手房" "中楼层" 2000 "无学区" "有地铁" "非免税" 205 35890 "50~100" "00~05" "2~3" "3~4万"
"通州" "天赐良园二期" "2室2厅" 79 "南北" "北关二手房" "低楼层" 2002 "无学区" "有地铁" "满五年唯一" 240 30380 "50~100" "00~05" "2~3" "3~4万"
"海淀" "万城华府" "1室1厅" 89 "南西" "万柳二手房" "中楼层" 2005 "有学区" "无地铁" "满五年唯一" 850 94845 "50~100" "05~10" "8~9" "9~10万"
"昌平" "静心苑" "3室2厅" 102 "南北" "西关环岛二手房" "高楼层" 2003 "无学区" "无地铁" "满五年唯一" 248 24196 "100~150" "00~05" "2~3" "2~3万"
"房山" "碧桂园小区C区" "3室2厅" 124 "南北" "良乡二手房" "低楼层" 2007 "无学区" "无地铁" "满五年唯一" 230 18549 "100~150" "05~10" "2~3" "1~2万"
"昌平" "燕城苑南区" "2室1厅" 131 "南北" "北七家二手房" "高楼层" 2001 "无学区" "无地铁" "满五年唯一" 240 18317 "100~150" "00~05" "2~3" "1~2万"
"朝阳" "望京路3号院" "3室1厅" 76 "南北" "望京二手房" "高楼层" 1988 "无学区" "有地铁" "满五年唯一" 340 44626 "50~100" "<1990" "3~4" "4~5万"
"西城" "复兴门外大街" "2室1厅" 58 "东西" "木樨地二手房" "低楼层" 1985 "无学区" "无地铁" "满五年唯一" 370 63794 "50~100" "<1990" "3~4" "6~7万"
"朝阳" "西平里" "2室1厅" 81 "东西" "首都机场二手房" "高楼层" 1999 "无学区" "无地铁" "满五年唯一" 168 20496 "50~100" "95~00" "1~2" "2~3万"
"通州" "华诚花园" "3室1厅" 106 "南北" "北关二手房" "低楼层" 1998 "无学区" "有地铁" "满五年唯一" 285 26887 "100~150" "95~00" "2~3" "2~3万"
"海淀" "辉煌国际" "1室0厅" 67 "西北" "上地二手房" "中楼层" 2006 "无学区" "无地铁" "非免税" 200 29851 "50~100" "05~10" "1~2" "2~3万"
"燕郊" "美林君渡" "2室2厅" 94 "南" "燕郊城区二手房" "低楼层" 2011 "无学区" "无地铁" "非免税" 130 13830 "50~100" "10~15" "1~2" "1~2万"
"丰台" "设计师广场" "1室1厅" 45 "西北" "看丹桥二手房" "高楼层" 2008 "无学区" "无地铁" "非免税" 140 31112 "0~50" "05~10" "1~2" "3~4万"
"朝阳" "公园大道" "3室2厅" 251 "东南北" "朝阳公园二手房" "低楼层" 2005 "无学区" "有地铁" "非免税" 1450 57659 ">200" "05~10" ">10" "5~6万"
"海淀" "辉煌国际" "1室0厅" 56 "南" "上地二手房" "高楼层" 2004 "无学区" "无地铁" "非免税" 155 27679 "50~100" "00~05" "1~2" "2~3万"
"顺义" "水色时光五区" "3室2厅" 134 "南北" "顺义其它二手房" "高楼层" 2010 "无学区" "无地铁" "非免税" 180 13409 "100~150" "10~15" "1~2" "1~2万"
"顺义" "香悦四季" "4室2厅" 157 "南北" "马坡二手房" "中楼层" 2010 "无学区" "无地铁" "非免税" 355 22612 "150~200" "10~15" "3~4" "2~3万"
"房山" "加州水郡四期" "2室1厅" 88 "南北" "长阳二手房" "高楼层" 2011 "无学区" "无地铁" "非免税" 180 20455 "50~100" "10~15" "1~2" "2~3万"
"门头沟" "龙泉花园" "1室1厅" 59 "西" "未知商圈二手房" "中楼层" 1996 "无学区" "无地铁" "非免税" 120 20339 "50~100" "95~00" "1~2" "2~3万"
"燕郊" "首尔甜城一期" "2室1厅" 78 "南" "燕郊城区二手房" "中楼层" 2014 "无学区" "无地铁" "非免税" 72 9231 "50~100" "10~15" "0~1" "0~1万"
"顺义" "誉天下" "4室2厅" 276 "南北" "中央别墅区二手房" "低楼层" 2009 "无学区" "无地铁" "非免税" 850 30798 ">200" "05~10" "8~9" "3~4万"
"西城" "西豪逸景" "2室1厅" 79 "西北" "广安门二手房" "中楼层" 2000 "有学区" "有地铁" "非免税" 390 48971 "50~100" "00~05" "3~4" "4~5万"
"燕郊" "文化大厦" "1室1厅" 50 "北" "燕郊城区二手房" "低楼层" 2008 "无学区" "无地铁" "非免税" 50 10000 "0~50" "05~10" "0~1" "0~1万"
"燕郊" "首尔甜城一期" "1室0厅" 49 "南" "燕郊城区二手房" "低楼层" 2010 "无学区" "无地铁" "非免税" 60 12122 "0~50" "10~15" "0~1" "1~2万"
"顺义" "香悦四季" "4室2厅" 138 "南北" "马坡二手房" "高楼层" 2010 "无学区" "无地铁" "非免税" 310 22464 "100~150" "10~15" "3~4" "2~3万"
"朝阳" "世界城" "1室1厅" 76 "东北" "东大桥二手房" "中楼层" 2009 "无学区" "无地铁" "非免税" 388 51053 "50~100" "05~10" "3~4" "5~6万"
"燕郊" "天洋城4代" "2室1厅" 77 "东南" "燕郊城区二手房" "低楼层" 2012 "无学区" "无地铁" "非免税" 80 10283 "50~100" "10~15" "0~1" "1~2万"
"门头沟" "大峪小白楼" "2室1厅" 63 "南北" "未知商圈二手房" "低楼层" 2015 "无学区" "无地铁" "非免税" 110 17461 "50~100" ">=2015" "1~2" "1~2万"
"燕郊" "福泽御园" "2室1厅" 80 "南" "燕郊城区二手房" "中楼层" 2006 "无学区" "无地铁" "非免税" 75 9375 "50~100" "05~10" "0~1" "0~1万"
"燕郊" "青年新城" "2室1厅" 81 "南北" "燕郊城区二手房" "高楼层" 2015 "无学区" "无地铁" "非免税" 75 9260 "50~100" ">=2015" "0~1" "0~1万"
"燕郊" "美林君渡" "3室2厅" 138 "南北" "燕郊城区二手房" "低楼层" 2012 "无学区" "无地铁" "非免税" 138 10000 "100~150" "10~15" "1~2" "0~1万"
"燕郊" "星河皓月" "2室2厅" 110 "南北" "燕郊城区二手房" "低楼层" 2008 "无学区" "无地铁" "非免税" 145 13182 "100~150" "05~10" "1~2" "1~2万"
"丰台" "怡海花园恒泰园" "4室1厅" 185 "南北" "科技园区二手房" "高楼层" 1997 "无学区" "有地铁" "非免税" 480 25946 "150~200" "95~00" "4~5" "2~3万"
"海淀" "郦城工作区" "1室1厅" 114 "南北" "四季青二手房" "中楼层" 2007 "无学区" "无地铁" "非免税" 400 35088 "100~150" "05~10" "3~4" "3~4万"
"房山" "金地朗悦悦园" "3室1厅" 89 "南北" "良乡二手房" "低楼层" 2013 "无学区" "无地铁" "非免税" 216 24270 "50~100" "10~15" "2~3" "2~3万"
"西城" "危改小区" "2室1厅" 98 "东西" "西直门二手房" "中楼层" 2010 "无学区" "无地铁" "非免税" 490 50000 "50~100" "10~15" "4~5" "4~5万"
"昌平" "金科帕提欧" "3室1厅" 97 "南" "昌平其它二手房" "低楼层" 2011 "无学区" "无地铁" "非免税" 195 20104 "50~100" "10~15" "1~2" "2~3万"
"朝阳" "双花园南里二区" "3室2厅" 116 "东南" "双井二手房" "低楼层" 2000 "有学区" "有地铁" "非免税" 520 44670 "100~150" "00~05" "5~6" "4~5万"
"顺义" "香悦四季" "4室2厅" 138 "南北" "马坡二手房" "高楼层" 2010 "无学区" "无地铁" "非免税" 350 25363 "100~150" "10~15" "3~4" "2~3万"
"海淀" "锋尚国际" "1室1厅" 74 "北" "万柳二手房" "高楼层" 2002 "有学区" "有地铁" "满五年唯一" 650 86876 "50~100" "00~05" "6~7" "8~9万"
"昌平" "五街家园国税局宿舍" "2室1厅" 62 "南北" "鼓楼大街二手房" "高楼层" 1993 "无学区" "无地铁" "满五年唯一" 135 21607 "50~100" "90~95" "1~2" "2~3万"
"朝阳" "华腾园" "3室2厅" 131 "西南北" "劲松二手房" "中楼层" 2000 "无学区" "有地铁" "满五年唯一" 525 39861 "100~150" "00~05" "5~6" "3~4万"
"海淀" "学院派" "2室2厅" 90 "西北" "皂君庙二手房" "低楼层" 2008 "无学区" "无地铁" "满五年唯一" 500 55556 "50~100" "05~10" "4~5" "5~6万"
"西城" "朗琴园" "3室2厅" 112 "南" "广安门二手房" "中楼层" 2002 "有学区" "有地铁" "满五年唯一" 800 71042 "100~150" "00~05" "7~8" "7~8万"
"海淀" "永定路西里" "3室1厅" 148 "南北" "五棵松二手房" "低楼层" 1998 "有学区" "有地铁" "满五年唯一" 888 60000 "100~150" "95~00" "8~9" "5~6万"
"海淀" "世纪金源国际公寓" "2室1厅" 147 "东南" "世纪城二手房" "低楼层" 2002 "有学区" "无地铁" "满五年唯一" 660 44898 "100~150" "00~05" "6~7" "4~5万"
"朝阳" "迪阳公寓" "3室2厅" 243 "南北" "朝阳门外二手房" "中楼层" 1997 "无学区" "有地铁" "满五年唯一" 1260 51676 ">200" "95~00" ">10" "5~6万"
"海淀" "加气混凝土厂宿舍" "2室1厅" 75 "东南" "清河二手房" "中楼层" 1996 "无学区" "有地铁" "满五年唯一" 280 37334 "50~100" "95~00" "2~3" "3~4万"
"昌平" "天通苑本六区" "2室1厅" 77 "南北" "天通苑二手房" "低楼层" 2000 "无学区" "无地铁" "满五年唯一" 220 28435 "50~100" "00~05" "2~3" "2~3万"
"海淀" "太阳园" "2室2厅" 105 "南西" "知春路二手房" "高楼层" 1999 "有学区" "有地铁" "满五年唯一" 750 71429 "100~150" "95~00" "7~8" "7~8万"
"海淀" "玉阜嘉园" "3室1厅" 141 "南北" "玉泉路二手房" "低楼层" 2002 "有学区" "无地铁" "满五年唯一" 680 47996 "100~150" "00~05" "6~7" "4~5万"
